ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
600-11-8249|502072260164|Shawn|Evans|M|794 Levy Well Apt. 321|Seaside|CA|93955|36.6217|-121.7935|33359|Trade mark attorney|1973-04-06|958891467916|adults_50up_male_urban.json
445-69-0294|630410277697|Molly|Turner|F|641 Derek Field Apt. 030|La Grange|IL|60525|41.7842|-87.8689|31168|Engineer, manufacturing systems|1960-07-19|715030953744|adults_50up_female_urban.json
248-56-8825|4472760122777|Kaitlyn|Heath|F|49605 Curtis Vista|Wilmington|NC|28403|34.2237|-77.8862|186140|Podiatrist|1962-10-13|459473397743|adults_50up_female_urban.json
755-75-9763|3507678997308064|Kenneth|Tran|M|671 Dean Rue Suite 760|Westville|IN|46391|41.5365|-86.9013|9726|Designer, television/film set|1994-02-10|795805946643|adults_2550_male_urban.json
353-57-3803|213195972466578|Rebecca|Richard|F|1722 Eric Overpass|Brookpark|OH|44142|41.3979|-81.8118|19201|Chiropractor|1979-01-03|458674514560|adults_2550_female_urban.json
506-39-3846|4054522801565|Ashley|Perez|F|4550 Kemp Walk|North Hollywood|CA|91605|34.2057|-118.4001|155954|Scientist, biomedical|1951-07-28|737034811189|adults_50up_female_urban.json
052-57-7490|5499180812135249|Michelle|Gill|F|125 Fuentes Crossing Apt. 760|Dallas|TX|75218|32.8463|-96.6972|1263321|Financial trader|1983-09-18|892643726392|adults_2550_female_urban.json
294-65-2806|2255653286326669|Steven|Crane|M|72081 Matthew Locks Apt. 606|La Habra|CA|90631|33.9331|-117.9494|67619|Animator|2000-05-05|165963831708|adults_2550_male_urban.json
060-81-8517|4684550489267389977|Melissa|Barron|F|41085 Hardy Streets Apt. 884|Cleveland|OH|44120|41.4714|-81.5839|769341|Engineer, production|1970-07-08|558744405500|adults_50up_female_urban.json
534-44-2622|501889434681|Ashley|Brown|F|8510 Shane Ports Apt. 753|Baytown|TX|77520|29.7461|-94.9653|103027|Television camera operator|1974-05-18|784113269443|adults_50up_female_urban.json
643-86-8738|3554492683158938|Samantha|Ward|F|66110 Beasley Mountains|San Bernardino|CA|92410|34.1069|-117.2975|236660|Engineer, site|1952-04-22|83520638811|adults_50up_female_urban.json
539-52-9638|180049767762288|Cameron|Dawson|M|881 Stanley Bypass|Reston|VA|20191|38.9318|-77.3527|59822|Designer, graphic|1964-08-15|618235071225|adults_50up_male_urban.json
122-78-6695|5459408215454471|Alyssa|Thomas|F|44327 David Keys Apt. 067|West Paducah|KY|42086|37.0922|-88.7611|4036|Teacher, primary school|1968-08-16|619805450053|adults_50up_female_urban.json
346-49-7787|3528777251996633|Stephanie|Morgan|F|741 Jasmine Ports|Auburn|WA|98092|47.2884|-122.098|103374|Insurance broker|1963-10-15|711079270988|adults_50up_female_urban.json
573-11-3153|3598378018204331|Ronald|Combs|M|89569 Travis Brooks Suite 626|Pomona|CA|91767|34.0812|-117.7362|154204|Aeronautical engineer|1983-03-24|583512746771|adults_2550_male_urban.json
264-12-1879|2702422412462098|Tonya|White|F|6152 Orozco Green|Holden|LA|70744|30.5556|-90.6652|6181|Mining engineer|1949-04-08|910282144077|adults_50up_female_urban.json
054-26-3926|3578861405786170|Allen|Schultz|M|8913 Kevin Lodge|Tampa|FL|33606|27.9306|-82.4653|717255|Product designer|1984-06-10|928073319573|adults_2550_male_urban.json
209-19-6117|213138687007949|Marissa|Jackson|F|4946 Kirby Forest|Richfield|WI|53076|43.2739|-88.2155|3648|Textile designer|1998-07-26|561956459600|adults_2550_female_urban.json
166-95-8751|3541612846398552|Mark|Petty|M|3553 Haley Isle Apt. 209|Trion|GA|30753|34.5468|-85.3112|6697|Publishing copy|2003-05-01|987860857295|young_adults_male_urban.json
178-53-9107|3568118071569568|Cassandra|Tate|F|75370 Julia Trace|Farmville|VA|23901|37.3027|-78.4076|18426|Health visitor|1981-04-01|393888005209|adults_2550_female_urban.json
836-79-4968|3537504793036143|Keith|Snyder|M|999 Cameron Crossroad|San Jose|CA|95127|37.3692|-121.8208|973849|Bookseller|1978-12-27|284015153138|adults_2550_male_urban.json
877-30-8571|3530894870605663|Donald|Frazier|M|5803 Joshua Manor Suite 506|Slidell|LA|70461|30.2726|-89.729|84991|Engineer, broadcasting (operations)|1993-04-29|87336896474|adults_2550_male_urban.json
828-04-3697|3513325411076099|Robert|Mcconnell|M|17350 Stone Freeway Apt. 997|Greenville|MS|38701|33.3787|-91.0468|38797|Chief of Staff|1980-12-07|492312124212|adults_2550_male_urban.json
088-08-0547|6512070496110801|Elizabeth|James|F|639 Shawn Mountain|New Braunfels|TX|78130|29.7229|-98.0742|78685|Phytotherapist|2002-02-01|682384138413|young_adults_female_urban.json
348-84-0426|30593110919394|Cameron|Hicks|M|7972 Devin Cape Apt. 249|Derby|KS|67037|37.553|-97.2549|26577|Press photographer|1980-02-19|831727739696|adults_2550_male_urban.json
598-70-2386|4495450892038804|Javier|Gonzalez|M|315 Elizabeth Square|Lake Crystal|MN|56055|44.1202|-94.2184|3902|Psychologist, sport and exercise|1953-04-27|762785170856|adults_50up_male_urban.json
593-73-5500|3565217073033798|Daniel|Castillo|M|636 Margaret Avenue Suite 015|Yucca Valley|CA|92284|34.1559|-116.4313|25095|Air traffic controller|2000-08-17|126936433890|adults_2550_male_urban.json
451-25-9596|340334234258327|Christina|Thompson|F|02615 Kevin Garden Suite 528|Chicago|IL|60647|41.9209|-87.7043|2680484|Youth worker|1959-09-17|480528087023|adults_50up_female_urban.json
067-16-2367|4386559630993849|Rachel|Murphy|F|428 Clark Common|Boise|ID|83706|43.5885|-116.191|255947|Psychotherapist, dance movement|1975-11-21|729246780211|adults_50up_female_urban.json
172-66-6359|4787255877749698|Matthew|Clark|M|3634 Oneal Ports|Hillsboro|TX|76645|32.0149|-97.1198|11039|Designer, graphic|1950-01-09|927435905849|adults_50up_male_urban.json
564-11-2201|2267853907895672|John|Ortiz|M|4602 Hall Rue Apt. 514|Keller|TX|76244|32.931|-97.2843|95035|Retail banker|2005-09-30|599202874667|young_adults_male_urban.json
805-36-3732|5415083535444396|Yolanda|Murillo|F|44566 Thomas Passage Apt. 633|Bridgeport|NY|13030|43.159|-75.97|3892|Engineer, manufacturing systems|1998-10-09|255440767243|adults_2550_female_urban.json
805-71-7680|3551536637780529|Kenneth|Anderson|M|5536 Jennings Lodge|College Park|MD|20740|38.9963|-76.9299|36588|Soil scientist|2000-06-10|357769217573|adults_2550_male_urban.json
582-05-2280|4999966361863712|Erin|Hayden|F|21820 Johnson Flat Apt. 643|North Platte|NE|69101|41.1326|-100.7746|29904|Exhibitions officer, museum/gallery|1977-04-18|722804794435|adults_2550_female_urban.json
466-08-6040|213125662128675|Patrick|Price|M|34672 Matthews Parkway|Gainesville|GA|30504|34.2723|-83.8793|120577|Proofreader|1981-08-31|220226342085|adults_2550_male_urban.json
147-58-1049|6011859777901474|Gregory|Kirby|M|9263 Rachel Street Suite 762|Mc Cook|NE|69001|40.2049|-100.6279|9449|Teacher, adult education|1941-03-11|429907045757|adults_50up_male_urban.json
045-31-2588|4137681511856724388|Amanda|Johnson|F|5636 Alex Crescent Apt. 577|Kaneohe|HI|96744|21.4228|-157.8115|54247|Psychologist, clinical|1972-03-16|90487389653|adults_50up_female_urban.json
249-92-7172|4422091241862102|Michael|Hernandez|M|30837 Mary Valleys Apt. 647|Rancho Cucamonga|CA|91739|34.1705|-117.5182|101719|Associate Professor|1977-04-16|6864239738|adults_2550_male_urban.json
387-99-3306|4331060053134|Tyler|Davis|M|206 Lisa Islands|Woodruff|SC|29388|34.7579|-82.0447|14470|Surveyor, planning and development|1965-04-08|208850457458|adults_50up_male_urban.json
555-51-7011|2243155206506375|Connie|Barrett|F|950 Nicole Loop Suite 971|Taunton|MA|02780|41.905|-71.1026|49036|Software engineer|1963-04-11|935968824759|adults_50up_female_urban.json
258-13-9829|372525715099764|Kayla|Harmon|F|09143 Todd River|Middlesboro|KY|40965|36.6172|-83.7231|13570|Cartographer|1969-10-31|150581222763|adults_50up_female_urban.json
304-26-2485|6011039752450868|Maria|Roberts|F|55338 Rebecca Shores|Houston|TX|77082|29.7223|-95.6285|2906700|Fish farm manager|1930-10-04|755061486086|adults_50up_female_urban.json
228-78-6251|180027017130233|Beth|Thompson|F|81674 Jennifer Gardens|Lyford|TX|78569|26.4089|-97.7817|4039|Photographer|1932-02-21|666477715598|adults_50up_female_urban.json
293-74-7345|4471566277689628|Sally|Leon|F|6149 Angela Extensions|Laredo|TX|78045|27.6357|-99.5923|248858|Furniture designer|1994-06-27|508440162259|adults_2550_female_urban.json
291-49-9211|3515273230085768|Tammy|Bentley|F|7491 Dyer Crossing Suite 923|Lincoln|NE|68522|40.7934|-96.7479|266032|Press photographer|1951-12-20|283283574037|adults_50up_female_urban.json
770-93-5712|180050663370507|Melissa|Brewer|F|724 Carrie Shore Apt. 011|San Antonio|TX|78237|29.4208|-98.5645|1595797|Music tutor|1997-02-05|774802079697|adults_2550_female_urban.json
083-67-3094|6011644886946119|Makayla|Frank|F|43640 Lisa Alley Apt. 168|Rochester|NY|14617|43.2203|-77.5994|478127|Pension scheme manager|1996-04-10|316343759740|adults_2550_female_urban.json
175-23-6139|4372817932302341|Victoria|Savage|F|912 Kelly Lane Apt. 415|Harrah|OK|73045|35.4833|-97.1734|10378|Air traffic controller|1952-02-06|260213369900|adults_50up_female_urban.json
689-98-1652|501840901380|Ricky|Bennett|M|7596 Wood Junctions Suite 356|Reno|NV|89521|39.3809|-119.6859|276896|Multimedia specialist|2003-06-14|62752947085|young_adults_male_urban.json
895-43-1642|675962091848|Trevor|Walton|M|7978 Keller Alley|South Hill|VA|23970|36.7124|-78.1534|8254|IT technical support officer|1976-05-31|695856128556|adults_2550_male_urban.json
047-95-5334|4397691567164933|Michael|Kane|M|71487 Peggy Crescent|Madison|NJ|07940|40.7599|-74.4179|17278|Race relations officer|1987-05-21|595551513037|adults_2550_male_urban.json
217-22-1466|2302564347128718|Robert|Cook|M|915 Kent Summit|Lafayette|IN|47909|40.3228|-86.8881|98078|Museum/gallery curator|1963-04-11|707183200038|adults_50up_male_urban.json
877-56-3824|4141115931956|Cameron|Edwards|M|040 Melanie Manors Suite 528|Newark|DE|19713|39.6699|-75.7151|138967|Town planner|1946-06-16|243055532117|adults_50up_male_urban.json
010-69-7547|344377294209546|Jonathan|Barker|M|973 Carter Lane Apt. 523|Lillington|NC|27546|35.332|-78.9212|19471|Equality and diversity officer|1971-10-11|810462078563|adults_50up_male_urban.json
887-23-7988|3542086567566185|Monica|Campbell|F|861 Marcus Turnpike|Philadelphia|PA|19128|40.0402|-75.2231|1526206|Telecommunications researcher|1994-05-15|888482083729|adults_2550_female_urban.json
727-39-7497|4927742333059128|Jamie|Mcgrath|F|15720 Tina Run|Astoria|OR|97103|46.1558|-123.798|16859|Lexicographer|1992-05-30|479289970775|adults_2550_female_urban.json
643-93-6620|4136749261762|Donald|Delgado|M|11117 Andrew Ports Suite 419|Antioch|CA|94509|37.9939|-121.8089|102729|Education officer, community|1999-04-08|529930072535|adults_2550_male_urban.json
720-56-4889|3515182606888715|Joseph|Richards|M|12920 Mcbride Crossing|North Richland Hills|TX|76180|32.84|-97.225|61653|Archaeologist|1970-01-21|631913452983|adults_50up_male_urban.json
166-12-9216|4118458260340848723|Laura|Neal|F|883 Elaine Cape Apt. 032|Camano Island|WA|98282|48.1761|-122.521|15661|Hydrographic surveyor|1969-05-16|918504891866|adults_50up_female_urban.json
138-78-9046|4429618446261|Jesus|Duffy|M|283 Crystal Grove Apt. 598|Chattanooga|TN|37421|35.025|-85.1459|198659|Trade union research officer|1988-08-10|460266060308|adults_2550_male_urban.json
324-56-6209|676231418184|Jason|Murphy|M|5423 Smith Lane|Belle Plaine|MN|56011|44.6139|-93.7604|8925|Environmental education officer|1954-05-29|859444442469|adults_50up_male_urban.json
180-68-5023|3518594849102562|Catherine|Shaffer|F|9240 Diane Divide Suite 940|Oxnard|CA|93030|34.2141|-119.175|211523|Metallurgist|1995-02-13|857737191645|adults_2550_female_urban.json
624-54-7501|4578446834146515|Madison|Jones|F|29014 Stokes Branch|Brawley|CA|92227|32.9792|-115.5296|26234|Photographer|1942-06-28|561253583335|adults_50up_female_urban.json
140-62-8157|213160930685388|Michael|Williams|M|83215 Willie Center Suite 762|Mechanicsburg|IL|62545|39.7778|-89.4064|1246|Midwife|1937-04-18|124424036074|adults_50up_male_rural.json
696-32-8833|2264744309634806|Timothy|Stafford|M|50975 Gomez Avenue Suite 265|Richmond|KY|40475|37.7546|-84.2955|55803|Acupuncturist|1969-10-21|472881645004|adults_50up_male_urban.json
087-68-8427|4170243765456282|Robert|Rodriguez|M|722 Burgess Avenue Suite 313|Loogootee|IN|47553|38.6629|-86.9137|8495|Higher education careers adviser|1939-10-27|146201787599|adults_50up_male_urban.json
762-43-0518|4741678725686215|Tyler|Sparks|M|58030 Jordan Ranch|Trinity|TX|75862|30.942|-95.3403|10091|Actuary|1940-04-13|525851436867|adults_50up_male_urban.json
498-11-7028|4823414363714|Michael|Shaw|M|92312 Johnson Fields|Cleveland|TN|37312|35.2023|-84.8476|88774|Dancer|1978-07-18|19010826556|adults_2550_male_urban.json
094-07-6232|6533567086041457|Diana|Bell|F|50200 Donna Islands Apt. 474|Miami|FL|33147|25.8507|-80.2366|1737737|Training and development officer|1975-01-24|472879170760|adults_50up_female_urban.json
504-47-5477|4108255598953439611|Stephen|Anderson|M|93371 Shelly River|San Antonio|TX|78232|29.5863|-98.4769|1595797|Lobbyist|1982-10-25|795863781117|adults_2550_male_urban.json
780-26-8742|3502368485571614|John|Mills|M|94240 Laura Square|Jackson|NE|68743|42.4529|-96.5743|693|Energy manager|1984-05-10|896534545111|adults_2550_male_rural.json
702-69-8413|2228868669432025|Kenneth|Vargas|M|788 Turner Forges|Farmingdale|NY|11735|40.7315|-73.4327|32098|Housing manager/officer|1982-05-11|295099706923|adults_2550_male_urban.json
176-29-0748|213140242403381|Audrey|Wong|F|1842 Villanueva Hill Suite 005|Hamilton|VA|20158|39.1383|-77.6573|4288|English as a foreign language teacher|1957-05-22|194474786891|adults_50up_female_urban.json
017-69-9557|2294983735439620|Jeremy|Blair|M|2717 Stephen Via Apt. 397|Greensboro|NC|27407|36.0334|-79.8626|305168|Education administrator|1983-09-02|312018912686|adults_2550_male_urban.json
167-23-6459|4121637618209162|Janet|Rodriguez|F|023 Joseph Road|Sarasota|FL|34233|27.2866|-82.477|232625|Tourism officer|1977-07-19|867641362532|adults_2550_female_urban.json
811-14-8887|3513279724572304|Joshua|Adams|M|01841 Thomas Fork|Macungie|PA|18062|40.5285|-75.5666|24351|Aeronautical engineer|1938-03-07|469124997593|adults_50up_male_urban.json
362-84-4700|4172131451950|Bailey|Mclean|F|92268 Greene Springs|Flint|MI|48503|43.0128|-83.6914|162969|Physicist, medical|1993-01-15|979897733631|adults_2550_female_urban.json
309-80-4703|344754102252670|Nathan|Floyd|M|19642 Marcus Crossroad Apt. 655|San Diego|CA|92113|32.697|-117.1153|1241364|Research officer, trade union|1970-05-21|530101322298|adults_50up_male_urban.json
424-78-5464|4668788788361967|Joseph|Frank|M|135 James Vista|Boise|ID|83709|43.5741|-116.2941|255947|Adult guidance worker|1978-01-25|611441845487|adults_2550_male_urban.json
137-15-0977|372472863330214|Tonya|Padilla|F|065 Jacqueline Shore Apt. 792|New Albany|MS|38652|34.4851|-89.0031|16600|Air traffic controller|1979-05-07|400062831980|adults_2550_female_urban.json
251-10-0205|3522728476570410|Christopher|Ibarra|M|282 Randy Manors|San Juan|TX|78589|26.2044|-98.1537|38004|Programme researcher, broadcasting/film/video|1949-09-06|784064129428|adults_50up_male_urban.json
586-65-5015|3562418623690367|Catherine|Reese|F|775 Wilcox Expressway|Bozeman|MT|59718|45.6681|-111.2404|58934|Audiological scientist|1943-08-13|411472208977|adults_50up_female_urban.json
200-35-1777|5359503428113905|Peter|Parker|M|034 Tiffany Port|South Glens Falls|NY|12803|43.2836|-73.6294|7567|Armed forces operational officer|1970-11-06|531674970957|adults_50up_male_urban.json
323-12-5057|584683565215|Erin|Mosley|F|209 Woods Ways|Hackensack|NJ|07601|40.8882|-74.0503|43010|Applications developer|2006-03-10|177339712408|young_adults_female_urban.json
475-11-1529|3532288985725458|Loretta|Bentley|F|633 Susan Port|Clemmons|NC|27012|36.0341|-80.3962|25461|Research scientist (medical)|1937-12-13|885181618728|adults_50up_female_urban.json
785-40-8965|2517524214955115|Christopher|Ingram|M|4721 Williams Walks Suite 669|Bailey Island|ME|04003|43.7341|-69.9952|330|Conservation officer, nature|1963-05-22|401325298984|adults_50up_male_rural.json
640-41-6123|2387409038021467|Brooke|Ross|F|67157 Day Viaduct|West Liberty|OH|43357|40.2625|-83.7528|4763|Psychologist, occupational|1996-05-09|90662975985|adults_2550_female_urban.json
111-51-7097|4515597371478|Andrew|Moore|M|35909 Brown Valley Suite 673|Murrieta|CA|92563|33.569|-117.1783|115971|Audiological scientist|1965-09-11|954391094721|adults_50up_male_urban.json
777-88-6930|4212146147683420161|Glenn|Mullins|M|56778 Tammy Mews|Columbus|IN|47201|39.2055|-85.9317|67468|Marine scientist|1984-08-06|764128789156|adults_2550_male_urban.json
843-02-9190|3519925502727510|Ricky|Craig|M|072 Fowler Prairie Apt. 033|Salem|OH|44460|40.9|-80.8619|26732|Petroleum engineer|1995-11-11|599991667309|adults_2550_male_urban.json
616-49-3542|343905504481777|Jason|Bell|M|512 Patterson Fall Apt. 866|Marion|OH|43302|40.5876|-83.1271|54790|Higher education careers adviser|1991-03-06|725184146528|adults_2550_male_urban.json
448-82-4641|3511109617981787|Lauren|Johnson|F|3378 Wilson Walks Suite 157|Charleston|SC|29414|32.8215|-80.0568|195110|Passenger transport manager|1990-12-10|905842934836|adults_2550_female_urban.json
804-95-6485|583844446307|Stephanie|Perry|F|25895 Jackson Ports|Sterling Heights|MI|48310|42.5648|-83.0701|129683|Planning and development surveyor|1981-10-20|610924012749|adults_2550_female_urban.json
198-79-6445|639096262659|Joseph|Kim|M|281 Cameron Road|Saint Augustine|FL|32084|29.9175|-81.3668|109984|Gaffer|1961-05-14|609186727542|adults_50up_male_urban.json
331-27-1528|5160920981960275|Madison|Strickland|F|34383 Townsend Shoals|Richmond|CA|94804|37.9265|-122.3342|81602|Arts development officer|1991-02-22|91375278168|adults_2550_female_urban.json
643-03-9493|5479112442117531|Jeanette|Henry|F|1713 Brooks Island|Bedford|MA|01730|42.4843|-71.2768|13221|Production designer, theatre/television/film|1990-05-12|179566350884|adults_2550_female_urban.json
011-23-9295|4155799802841397|Allen|Johnson|M|51305 Jeffrey Stream|Jersey City|NJ|07306|40.7321|-74.066|247530|Computer games developer|1996-09-07|301797003309|adults_2550_male_urban.json
095-45-9036|4776863423461990|Eric|Bauer|M|7694 Dean Rest Suite 639|Kaunakakai|HI|96748|21.0905|-156.969|4503|Manufacturing engineer|1948-07-19|985153658839|adults_50up_male_urban.json
066-58-2741|676149649854|James|Wilson|M|2531 Diane Landing Apt. 510|American Fork|UT|84003|40.3928|-111.7941|42384|Investment banker, operational|1976-06-26|11546128003|adults_2550_male_urban.json
219-60-9298|348164938318495|Theresa|Aguirre|F|665 Gonzalez Causeway|Shirley|MA|01464|42.5734|-71.6483|7211|Research officer, political party|1977-09-05|49386329864|adults_2550_female_urban.json
432-16-2034|30295963904099|Victoria|Buck|F|60880 Newman Cliff Suite 164|Oklahoma City|OK|73160|35.334|-97.4768|640470|Haematologist|2000-10-21|825996040059|adults_2550_female_urban.json
082-72-5132|30064771591039|Anthony|Smith|M|6321 Jennifer Valleys|Vallejo|CA|94589|38.1582|-122.2804|119080|Merchandiser, retail|1983-01-04|995642772692|adults_2550_male_urban.json
006-89-0861|4104145964229712525|Paul|Barron|M|718 Becky Shore Suite 457|Omaha|NE|68127|41.2074|-96.0612|518429|Equities trader|2000-01-03|288157084137|adults_2550_male_urban.json
729-11-5784|213131170303768|Cole|Garcia|M|885 Erickson Shoal|Durango|CO|81301|37.2874|-107.8617|36051|Designer, exhibition/display|1994-12-19|557692084425|adults_2550_male_urban.json
134-29-5958|6598363146249120|Joel|Rodriguez|M|07240 Stanley Mission|Mayer|AZ|86333|34.3655|-112.1296|5734|Management consultant|1979-10-02|129989670839|adults_2550_male_urban.json
087-46-7070|4686850745102|Mariah|Dennis|F|43629 Moreno Park Suite 103|Fort Lauderdale|FL|33317|26.1122|-80.2264|711693|Clinical psychologist|1993-02-26|125497139516|adults_2550_female_urban.json
037-74-4362|4814396661340|Jon|Jackson|M|4940 Jackson Squares|Santee|CA|92071|32.8486|-116.9862|53422|Writer|1974-05-20|813796480365|adults_50up_male_urban.json
705-31-2790|342257207650246|Sierra|Jackson|F|579 Tracy Gateway|West Palm Beach|FL|33418|26.8607|-80.1669|459921|Public house manager|1936-12-15|47714449557|adults_50up_female_urban.json
581-88-4763|4211457758471|David|Ellis|M|5897 Joseph Path Apt. 263|Grand Junction|CO|81503|39.0307|-108.4361|103017|Curator|1932-05-04|546994984893|adults_50up_male_urban.json
592-95-7057|341361487824553|James|Butler|M|3098 Flowers Crossing Suite 795|Waukegan|IL|60087|42.3989|-87.8554|98692|Homeopath|1996-10-21|545496644624|adults_2550_male_urban.json
151-60-2462|180098247414077|Andrew|Campbell|M|74065 Brendan Dam|Waipahu|HI|96797|21.3982|-158.0124|72289|Maintenance engineer|1968-02-29|313011727974|adults_50up_male_urban.json
515-86-9188|4423691430753662|James|Strong|M|9429 Shelton Islands Apt. 342|Dayville|CT|06241|41.854|-71.8683|6650|Pension scheme manager|2000-06-17|221423962760|adults_2550_male_urban.json
088-39-9285|4826612875857563|Julie|Ali|F|80612 Buchanan Prairie Suite 298|Forest Hills|NY|11375|40.7229|-73.8473|68733|Systems developer|1953-11-05|325892691992|adults_50up_female_urban.json
866-51-2064|6011787010415913|Rodney|Cunningham|M|19803 Anna Park Apt. 324|Thurmont|MD|21788|39.6109|-77.3989|11622|Insurance risk surveyor|1967-05-24|8317338227|adults_50up_male_urban.json
639-89-3289|5302918133170875|James|Howe|M|7238 Underwood Springs Suite 916|Gaithersburg|MD|20879|39.173|-77.1855|135332|Dancer|1989-12-28|24207282522|adults_2550_male_urban.json
839-96-3944|4774419754661765|Robin|Hernandez|F|1960 Johnson Run Suite 052|Clarksville|TN|37040|36.522|-87.349|151785|Psychotherapist|1957-10-24|798358932789|adults_50up_female_urban.json
010-21-5862|213158681225958|Joe|Trevino|M|4617 Estes Rest|Thomasville|NC|27360|35.8713|-80.0913|46084|Education administrator|1990-12-11|779863149046|adults_2550_male_urban.json
795-85-8609|4599599610023117757|Peter|Zavala|M|26610 Wilson Vista|Dalton|OH|44618|40.7793|-81.7008|6858|Buyer, industrial|1949-03-01|839414972970|adults_50up_male_urban.json
647-04-2852|347629833477431|Curtis|Martin|M|90130 Patricia Lake|Warwick|RI|02886|41.7026|-71.4476|77398|Orthoptist|1971-10-02|599441262694|adults_50up_male_urban.json
349-24-8654|30339785598216|Jessica|Garrett|F|128 Garcia Parks|Marion|TX|78124|29.5684|-98.1517|5609|Exercise physiologist|1976-07-12|657351096946|adults_2550_female_urban.json
024-29-4750|4512418938984690815|Lauren|Giles|F|005 Green Isle Apt. 238|Lumberton|NC|28358|34.6293|-79.0083|53001|Landscape architect|1996-01-31|832897986343|adults_2550_female_urban.json
064-31-8087|2719051699187242|Miranda|Garcia|F|356 Turner Vista Apt. 000|Houston|TX|77057|29.7422|-95.4903|2906700|Engineer, building services|2001-04-14|668014241670|young_adults_female_urban.json
699-88-0297|180006626682172|Bailey|Gilbert|F|3560 Jesse Radial Apt. 368|Highland Springs|VA|23075|37.5437|-77.3226|9819|Tax inspector|1941-06-02|16328465353|adults_50up_female_urban.json
256-08-1256|503872405595|Matthew|Sanchez|M|96711 John Plains Apt. 753|Rich Square|NC|27869|36.2773|-77.2969|2258|Producer, radio|1951-10-03|333775368412|adults_50up_male_rural.json
799-71-4796|4845881056974136|Susan|Skinner|F|8315 Barry Freeway|Chicago|IL|60634|41.9463|-87.8061|2680484|Printmaker|1963-07-13|840309956687|adults_50up_female_urban.json
117-03-8175|574964104966|Kathleen|Roy|F|0336 Donna Place Apt. 408|Lake Worth|FL|33461|26.6232|-80.0946|215808|Magazine features editor|1978-10-28|29795149755|adults_2550_female_urban.json
773-44-4302|3505966018648762|Kenneth|Carroll|M|67320 Marsh Harbor Apt. 384|Asbury Park|NJ|07712|40.2507|-74.0486|39158|Leisure centre manager|1995-09-18|436244478143|adults_2550_male_urban.json
281-47-4404|4901495427707074|Amanda|Howard|F|0914 Ashley Mill|Las Vegas|NV|89142|36.148|-115.0404|1417793|Education administrator|1965-01-02|842921721460|adults_50up_female_urban.json
266-64-2085|4290310287951|Andrew|Love|M|440 Fernandez Cape|Temple|TX|76502|31.071|-97.3898|72710|Tourism officer|1979-07-01|383260104700|adults_2550_male_urban.json
520-57-1855|213133595616428|Allison|Lawson|F|6574 Ethan Cape Suite 290|Doylestown|PA|18901|40.3054|-75.1489|48571|Claims inspector/assessor|1992-11-04|234544032902|adults_2550_female_urban.json
524-92-8327|3536902611398987|Nicholas|Ryan|M|097 Stewart Fields|Santa Rosa|CA|95401|38.4432|-122.7547|209844|Teaching laboratory technician|1933-01-20|361825349415|adults_50up_male_urban.json
787-47-3783|30513765158817|Suzanne|Valdez|F|6392 Kimberly Lodge|Spartanburg|SC|29301|34.9352|-81.9654|129573|Television/film/video producer|1954-05-02|153183885482|adults_50up_female_urban.json
815-37-5597|341668297327027|Bryan|Baker|M|120 Johnson Expressway Apt. 288|Lawrence|KS|66049|38.9704|-95.2769|94117|Network engineer|1935-10-12|467740236780|adults_50up_male_urban.json
412-90-9125|4155999101577|Susan|Mccoy|F|7229 Edwin Avenue Suite 765|Benton Harbor|MI|49022|42.1086|-86.4234|31814|Print production planner|1972-03-26|559104764810|adults_50up_female_urban.json
287-99-1588|4750988986457|Janet|Todd|F|36849 Garcia Haven|Stow|OH|44224|41.1748|-81.438|38742|Diagnostic radiographer|1963-10-29|314041785631|adults_50up_female_urban.json
450-29-2775|4913421388209088301|Katherine|Carson|F|49678 Mariah Hill Apt. 176|Troy|MI|48083|42.5597|-83.1138|80980|Research officer, political party|1959-02-19|95619099729|adults_50up_female_urban.json
286-94-1909|343152854781502|Jessica|Randolph|F|80032 Wiggins Forges Apt. 472|Clayton|NY|13624|44.1442|-76.062|5457|Radio producer|1978-07-12|205359003028|adults_2550_female_urban.json
290-17-3254|4830617893206499|James|Silva|M|8243 Contreras Overpass Suite 958|Lynnfield|MA|01940|42.5327|-71.0339|12108|Quarry manager|1973-02-11|104348022410|adults_50up_male_urban.json
774-98-4707|6553612751562778|Kyle|Mcdaniel|M|4836 Anna Islands|Folsom|CA|95630|38.6709|-121.1529|72180|Games developer|1984-09-14|350791406855|adults_2550_male_urban.json
829-57-6967|6504735047639280|Christine|Garrett|F|98006 Kimberly Isle Suite 810|East Amherst|NY|14051|43.0429|-78.6988|19533|Scientist, physiological|1945-09-18|396040924630|adults_50up_female_urban.json
161-69-6481|3542556383000817|Kathryn|Moody|F|44033 Joseph Crossing|Montour Falls|NY|14865|42.3437|-76.8396|2607|Multimedia programmer|1986-12-14|440901053017|adults_2550_female_urban.json
759-35-1392|5386008921963944|Rachel|Coleman|F|4731 Costa Ports|Lucasville|OH|45648|38.8938|-82.994|13372|Public affairs consultant|1993-06-02|319444981796|adults_2550_female_urban.json
228-53-9192|4488360765817390631|Jillian|Woods|F|452 Cody Extension|Wichita|KS|67205|37.7639|-97.4269|409656|Engineer, maintenance (IT)|1970-03-12|650643785906|adults_50up_female_urban.json
